Interjection Text,Paragraph,Directed at (Party),Party,Interjector Party,Quote,true_label,pred_label
Die anderen 48 lässt man lieber in der Schulbade versinken? Ihr habt euch geziert!,"In der Tat wurde die Frage von Alexander Schweitzer und Robert Habeck aufgeworfen, ob dieser Bundestag nicht noch Dinge entscheiden kann. Ja, ich hätte einen ganz konkreten Vorschlag: Das deutsche Lieferkettengesetz bringt keine bessere Welt, sondern nur mehr Bürokratie. Es war eine der 49 Maßnahmen, die die alte Koalition noch vereinbart hatte, von denen keine bisher im Deutschen Bundestag verabschiedet ist.",FDP,FDP,GRUENE,False,['confrontational'],['confrontational']
So ist es!,Und wir setzen auch die Vereinbarungen aus dem Koalitionsvertrag um und verpassen dem Bundespolizeigesetz ein bürgerrechtliches Update.,GRUENE,GRUENE,FDP,False,['cooperative'],['cooperative']
Sehr richtig!,"Stattdessen kritisieren Sie einen Vorschlag des Finanzministers, einen Vorschlag, der dem Koalitionsvertrag folgt, der angemessen ist und, zur Zeit passend, einen realistischen Ansatz fährt. Purismus ist in dieser Zeit nicht angebracht. Es geht jetzt um die Stärkung der Wirtschafts- und Währungsunion, um die Sicherung von Wachstum in der EU und um den Erhalt der Schuldentragfähigkeit. Gleichzeitig behalten die Vorschläge das Ziel klarer und verbindlicher Regeln im Blick und gehen umfassend auf die eben nicht nur rein fiskalpolitischen Herausforderungen des Stabilitätspaktes ein.",FDP,FDP,SPD,False,['cooperative'],['cooperative']
Pfui!,"Aber lassen Sie mich auch etwas zur Tonalität in dieser Debatte sagen. Wenn einzelne politische Kräfte insbesondere aus der konservativen Ecke von Schurkenstaaten, Wahlbetrug und organisierter Wahlfälschung sprechen, meine sehr geehrten Damen und Herren,",SPD,SPD,SPD,False,"['confrontational_others', 'cooperative']","['confrontational_others', 'cooperative']"
Wo ist die Brandmauer?,"Dass die EVP jetzt, ein Jahr vor der Europawahl, den breiten Konsens für eine ambitionierte Klima- und Naturschutzpolitik in Europa aufkündigt, ist beunruhigend. Und noch beunruhigender ist es – das hat mein Kollege Jan-Niclas Gesenhues gerade gesagt –, dass sie sich dabei offenbar nicht davor scheut, mit den Populisten und Extremisten von der ganz rechten Seite zusammenzuarbeiten. So ist es.",SPD,SPD,GRUENE,False,"['confrontational_others', 'cooperative']","['confrontational_others', 'cooperative']"
Genau!,"Wenn man sich in Erinnerung ruft, wie Sie sich damals um die Mövenpick-Steuer gestritten haben – Ministerpräsident Peter Harry Carstensen hat mit Rücktritt gedroht;",SPD,SPD,SPD,False,['cooperative'],['cooperative']
Hat Herr Brandner sich etwa angesprochen gefühlt?,"Die Reden der AfD entlarven Sie. Niemand, dem dieses Land und unsere Werte am Herzen liegen, biedert sich einem Autokraten wie Putin so an, wie Sie das regelmäßig in diesem Haus tun.",GRUENE,GRUENE,GRUENE,False,['confrontational_others'],"['confrontational_others', 'cooperative']"
Hört! Hört!,"Mit all diesen Maßnahmen sind wir auf einem guten Weg. Die aktuelle Lage sieht deutlich besser aus als im vergangenen Jahr. Die Produktionsmengen der kritischen Kinderarzneimittel und -antibiotika sind gegenüber dem letzten Winter deutlich gestiegen, teilweise um bis zu 100 Prozent.",GRUENE,GRUENE,SPD,False,['cooperative'],"['confrontational_others', 'cooperative']"
Er ist im Wahlkreis!,"Ich habe den Debattenbeiträgen gerade aufmerksam zugehört. Ich finde es schon schade, dass zum Beispiel Alexander Dobrindt heute bei der Debatte nicht dabei ist. Das mag Gründe haben.",SPD,SPD,FDP,False,['cooperative'],['cooperative']
Ja! Habe ich schon probiert!,Neben der Zutatenliste ist der Allergiehinweis wichtig. Ich möchte an dieser Stelle noch einmal auf eine Tradition aus meiner Heimat in Sachsen-Anhalt hinweisen. Haben Sie schon einmal etwas vom Würchwitzer Milbenkäse gehört?,SPD,SPD,GRUENE,False,['cooperative'],['ambiguous']
Einverstanden! Gute Idee!,Deswegen ist unsere Antwort eine andere. Lassen Sie uns doch gemeinsam an der finanziellen Bildung in diesem Land arbeiten.,FDP,FDP,GRUENE,False,['cooperative'],['cooperative']
Sagenhaft!,"Nicht nur, dass dieser Skandal überhaupt ans Licht kam, weil ein Kurier dieses Netzwerks mit Hunderttausenden von – man höre! – Euronoten in einem Koffer vom tschechischen Sicherheitsdienst erwischt wurde! Nach neuesten Medienberichten hat Petr Bystron von diesem Netzwerk möglicherweise auch ganz konkret finanziell profitiert. Interessanterweise ließ er sich einem Medienbericht zufolge in welcher Währung bezahlen? Sie werden es erraten, meine sehr geehrten Damen und Herren: in Euro.",SPD,SPD,SPD,False,"['confrontational_others', 'cooperative']",['cooperative']
Sie ist schon rot im Gesicht!,"Der Fraktionsvorsitzenden steht heute wahrscheinlich das Wasser bis zum Hals, weil der zweite ihrer Mitarbeiter auch in Potsdam gewesen sein soll.",GRUENE,GRUENE,GRUENE,False,"['confrontational_others', 'cooperative']",['confrontational_others']
Das war gut!,"Damit komme ich noch mal zur Staatsbürgerschaft. Kollege Kuhle, ich habe diese Woche ein Interview im Deutschlandfunk gehört und war ein bisschen erstaunt, wer da redet.",SPD,SPD,FDP,False,['cooperative_others'],['ambiguous']
Sehr richtig!,"Die Behauptung in dem Antrag, dass die EU keine zusätzlichen Eigenmittel braucht, weil die Mitgliedstaaten ohnehin zur Finanzierung verpflichtet sind, ist ein ganz grundsätzliches Missverständnis darüber, wie die internationale Zusammenarbeit in der EU funktioniert.",GRUENE,GRUENE,SPD,False,['cooperative'],['cooperative']
Neoliberalismus ist super!,"Denn man hätte ja wirklich auf die ganzen neoliberalen Phrasen,",SPD,SPD,FDP,False,['confrontational'],['cooperative']
Union und Wirtschaftskompetenz! Da war mal mehr da!,"Unsere Unternehmen wünschen sich das, und zwar auch Unternehmer, die ein CDU-Parteibuch haben; das möchte ich an dieser Stelle doch auch mal sagen.",FDP,FDP,FDP,False,['confrontational_others'],"['confrontational_others', 'cooperative']"
Das sagen die Richtigen!,"Das zeigt doch nur eins, Herr Dürr: Sie können entweder nicht mit Geld umgehen,",SPD,SPD,FDP,False,['confrontational'],['confrontational']
Guck an!,"Das Deutsche Institut für Wirtschaftsforschung hat zuletzt über Ihre Ideen geurteilt, Sie seien – Zitat – „aus der Hüfte geschossen“. Mehr noch: Sie würden der Wirtschaft schaden.",SPD,SPD,SPD,False,"['confrontational_others', 'cooperative']","['confrontational_others', 'cooperative']"
Hört! Hört!,"Wie gut, dass Frau Weidel in der Schweiz lebt. Dadurch ist sie vor ihren eigenen Forderungen geschützt.",SPD,SPD,SPD,False,"['confrontational_others', 'cooperative']","['confrontational_others', 'cooperative']"
"Ja, alles wegregulieren!","Krypto ist nicht nur Innovation – deswegen möchte ich auch noch auf einen anderen Part eingehen –; denn es gibt auch Spaßcoins wie den Dogecoin. Wenn ein einzelner, hier nicht namentlich genannter Tech-Milliardär diesen Coin einmal zum Mond und wieder zurück schießt, dann ist das auch ein Beispiel dafür, dass eine nicht vorhandene Regulierung und Sensibilisierung im Bereich Verbraucherschutz problematisch werden kann.",GRUENE,GRUENE,FDP,False,['confrontational'],['cooperative']
"Schwach, sehr schwach!","All das scheinen Sie, liebe Union, in Ihrem Antrag völlig auszublenden, obwohl Sie es doch eigentlich besser wissen müssten. Man muss es mit Blick auf die aktuelle politische Lage erst einmal schaffen, in einem Antrag, der eine „echte Zeitenwende“ in der deutschen Außen- und Sicherheitspolitik fordert, die Entwicklungszusammenarbeit als zentralen Teil des deutschen internationalen Engagements mit keinem Wort zu erwähnen.",SPD,SPD,SPD,False,"['confrontational_others', 'cooperative']","['confrontational_others', 'cooperative']"
Wir auch!,"In dem aktuellen Haushaltsentwurf fehlen mir das Zentrum für Digitale Souveränität der Öffentlichen Verwaltung und das Open-Data-Institut, auch Dateninstitut genannt; wir werden uns als SPD in den Haushaltsverhandlungen dafür einsetzen, dass diese noch mit aufgenommen werden.",SPD,SPD,GRUENE,False,['cooperative'],['ambiguous']
Sehr gut!,"Damit hätten wir es fast aufs Treppchen geschafft. Vor uns haben nur Österreich, Malta und Griechenland jungen Menschen unter 18 Jahren ermöglicht, bei der Europawahl zu wählen. Gestern gab es gute Neuigkeiten: Auch Belgien kam noch dazu.",SPD,SPD,SPD,False,['cooperative'],['cooperative']
Vorsicht!,"Die Gesetzgebung der letzten Monate und der neue Haushalt – darum geht es heute – ergänzen sich. Das ist eine kluge Politik. Der Bundesfinanzminister hat zum Abschluss der Haushaltsberatungen bei der Bereinigungssitzung die Haushälterinnen und Haushälter, wenn ich mich recht entsinne, als „interessantes Völkchen“ bezeichnet.",SPD,SPD,FDP,False,['ambiguous'],['confrontational']
So ist es!,Ich will Ihnen sagen: In der Opposition sind wir immer zu unseren Haushältern gegangen und haben die Refinanzierung von Kritikvorschlägen hier im Parlament vorher abstimmen müssen.,GRUENE,GRUENE,FDP,False,['cooperative'],['cooperative']
Genau!,"Wir leben – das möchte ich auch vorab sagen – in einer sehr disruptiven Welt, wir leben in einer globalisierten Welt. Es ist Fakt, dass Menschen sich in Bewegung setzen, um dem Elend und der Armut zu entfliehen, und dass diese Menschen auch bei uns hier ankommen. Wie wir damit umgehen, das ist unsere Sache. Es nützt wenig, immer nur zu adressieren, was sein müsste oder was getan werden muss. Wir sollten konkrete Schritte unternehmen, um uns auf den Weg zu machen.",FDP,FDP,SPD,False,['cooperative'],['cooperative']
"Wer zu spät kommt, den bestraft das Leben!","Mit der Debatte bauen Sie Potemkinsche Dörfer auf, die aber eigentlich keine Grundlage haben. Ich sage sehr klar: Wir brauchen im Moment noch die Kohleverstromung. Allein 10 Prozent der deutschen Stromerzeugung kommen aus Sachsen, dort überwiegend aus Kohle, weil wir wetterunabhängige Energiequellen brauchen.",FDP,FDP,GRUENE,False,['confrontational'],['ambiguous']
So ist es!,"Frau Präsidentin! Verehrte Damen und Herren! Ich will Herrn Brand antworten. Wir beide schätzen den Europarat. Ich darf nicht zu viele Details verraten. Nur so viel: Dass Russland stante pede – innerhalb von Stunden – aus dem Europarat geschmissen wurde, war nicht so einfach, wie es nach außen ausgesehen hat.",SPD,SPD,FDP,False,['cooperative'],['cooperative']
Ja!,Frau Präsidentin! Sehr geehrte Damen und Herren! Kommen wir jetzt wieder zu Mercosur zurück.,SPD,SPD,SPD,False,['cooperative'],['cooperative']
Genau!,"wenn wir uns anschauen, was wir bereits erreicht haben, dann sehen wir, dass wir eine ganze Menge Dinge durchgesetzt haben. Wir haben Chile vorangebracht, wir haben Mexiko vorangebracht. Wir haben etwas, was die Union nie hinbekommen hat, umgesetzt: Wir haben CETA ratifiziert.",FDP,FDP,SPD,False,['cooperative'],['cooperative']
Was will denn die FDP eigentlich?,"Hier wird immer über den Wettbewerb mit den Vereinigten Staaten von Amerika gesprochen. Die Zölle werden gefürchtet. Tatsächlich aber haben wir auch einen Steuerwettbewerb mit den USA. Weil unser Land nicht mehr doppelt so gut ist wie die Vereinigten Staaten von Amerika, können wir auch nicht doppelt so teuer sein.",FDP,FDP,GRUENE,False,['confrontational'],['confrontational']
Viel zu wenig!,In diesem Jahr sind 22 Windräder in Bayern ans Netz gegangen. Das ist einfach nur schwach.,GRUENE,GRUENE,GRUENE,False,['cooperative'],"['confrontational_others', 'cooperative']"
Sehr gut!,"Und Ihr Papier ist auch bemerkenswert einfallslos dahin gehend, was der Bund oder die EU noch machen könnten. Ich möchte jetzt nicht Ihren Job machen, aber hier noch ein paar Gedanken: Wir brauchen eine neue EU-Türkei-Vereinbarung.",FDP,FDP,FDP,False,['cooperative'],['cooperative']
Ganz genau!,"Spätestens seit dem Fallzahleinbruch in der Coronapandemie und durch den Fachkräftemangel ist das derzeitige Finanzierungssystem an seine Grenzen gekommen. Viele Krankenhäuser sind insolvenzbedroht, ja. Und warum? Weil Sie von der Union acht Jahre lang eben nicht gehandelt haben!",GRUENE,GRUENE,GRUENE,False,['cooperative'],['cooperative']
Richtig!,"Das alles zeigt: Es geht bei diesem Gesetzentwurf nicht darum, einen Anreiz zum Verpfeifen zu setzen, sondern darum, einen Anreiz dafür zu setzen, dass die Dinge intern geklärt werden. Jede Unternehmerin und jeder Unternehmer wird mir bestätigen: Es ist besser, von den eigenen Leuten die Probleme zu erfahren, damit ich sie selber abstellen kann, als irgendwann über das eigene Unternehmen in der Zeitung zu lesen oder Besuch vom Staatsanwalt zu bekommen.",FDP,FDP,GRUENE,False,['cooperative'],['cooperative']
Dieselben Zahlen wie das Institut der deutschen Wirtschaft!,"Frau Präsidentin! Liebe Frau Kollegin, vielen Dank, dass Sie die Zwischenfrage zulassen. – Ich möchte jetzt doch einmal etwas zu dieser ZEW-Studie sagen bzw. Sie dazu fragen, weil diese Studie wirklich dauerhaft von linken Parteien herangezogen wird, um Fake News zu verbreiten, die auch das ZEW schon eingestehen musste.",FDP,FDP,SPD,False,['confrontational'],['confrontational']
Aha!,"Liebe Kolleginnen und Kollegen, zum Schluss muss ich noch ein, zwei Sachen zu den Einlassungen vom Kollegen Oster sagen, bei denen wir leider nicht an einem Strang ziehen. Denn wir haben die Ruhegehaltsfähigkeit der Polizeizulage eingeführt; Sie haben das nicht gemacht.",GRUENE,GRUENE,SPD,False,"['confrontational_others', 'cooperative']","['confrontational_others', 'cooperative']"
Hört! Hört!,Das FBI soll AfD-Spitzenkandidat Maximilian Krah nach Zahlungen aus Russland befragt haben.,SPD,SPD,SPD,False,"['confrontational_others', 'cooperative']","['confrontational_others', 'cooperative']"
So geht Beschleunigung!,"Ich gebe ein paar Beispiele: das Erneuerbare-Energien-Gesetz, das Windenergie-auf-See-Gesetz. Damit sind die Erneuerbaren jetzt endlich als von überragendem öffentlichen Interesse deklariert. Das bedeutet, dass in Abwägungsentscheidungen, die dann zum Teil auch vor Gerichten landen, der Ausbau der Erneuerbaren zentral gesetzt werden kann. Das ist jetzt gesetzlich verankert.",GRUENE,GRUENE,GRUENE,False,['cooperative'],['cooperative']
So ist es!,Die Hausärztinnen und Hausärzte sind das Rückgrat der ärztlichen Versorgung.,GRUENE,GRUENE,SPD,False,['cooperative'],['cooperative']
Nein!,"Jetzt will ich mir angucken, was Sie vor der NRW-Wahl gemacht haben. Vor der nordrhein-westfälischen Landtagswahl haben Herr Wüst und Herr Laumann und Herr Merz in einer Kölner Erklärung gesagt, Sie seien jetzt auch für 12 Euro. Und dann ist in der CDU diskutiert worden, ob man zustimmt. Dann hat Herr Laumann gesagt, man werde zustimmen. Dann haben Sie Montag eine Fraktionssitzung gehabt, und das Ergebnis ist, dass Sie sich heute heldenhaft enthalten.",SPD,SPD,SPD,False,"['confrontational_others', 'cooperative']","['confrontational_others', 'cooperative']"
Guter Mann!,"Wenn das Geld fehlt, können wichtige Wahlbeobachtungsmissionen – Herr Kuhle hat es gesagt –, wie sie jetzt in der Türkei anstehen, nicht mehr durchgeführt werden. Meine Kolleginnen und ich machen uns direkt nach dieser Aktuellen Stunde auf den Weg in die Türkei unter der Delegationsleitung des Kollegen Frank Schwabe.",SPD,SPD,SPD,False,['cooperative'],['cooperative']
So ist es!,"Das heißt, Ihr rechtlicher Status, wenn Sie Ihre Fraktionsrechte verwirken, ist erst einmal der, dass Sie auf die Rechte einzelner Abgeordneter zurückfallen.",FDP,FDP,SPD,False,['cooperative'],['cooperative']
"Ja, genau!","Liebe Kolleginnen und Kollegen von der Union, wer nur markige Sprüche ohne jede Substanz von der Seitenauslinie aufs Spielfeld brüllt, der muss sich schon fragen lassen, warum er eigentlich noch ernst genommen werden sollte.",SPD,SPD,SPD,False,['cooperative'],['cooperative']
Richtig!,Sehr geehrte Frau Präsidentin! Meine Damen und Herren! Das Angebot der Zusammenarbeit und Sachlichkeit hat ja nicht so lange gehalten.,GRUENE,GRUENE,SPD,False,['cooperative'],['cooperative']
Hört! Hört!,"wollen das Streikrecht einschränken, um zu verhindern, dass sich Leute organisieren und ihre Interessen gemeinsam durchsetzen.",SPD,SPD,SPD,False,"['confrontational_others', 'cooperative']","['confrontational_others', 'cooperative']"
So ist es!,"Gerade der hier genannte Fall eines Deradikalisierungs-, eines Ausstiegsprogramms ist dafür doch der Musterfall. Es muss möglich sein, zu sagen, dass ein Islamist oder ein Rechtsradikaler, der vielleicht seit zwei, drei Jahren im Ausstiegsprogramm ist, noch voll im radikalen Umfeld unterwegs ist.",FDP,FDP,GRUENE,False,['cooperative'],['cooperative']
Genau!,"Sehr geehrte Frau Präsidentin! Werte Kolleginnen und Kollegen! Machen wir es mal transparent: Jede Fraktion in diesem Deutschen Bundestag kann Debattenplätze wählen und überlegen, was sie in diesen Debatten zum Thema macht.",SPD,SPD,GRUENE,False,['cooperative'],['cooperative']
Das war sehr lustig!,"Es ist toll, was Robert Habeck da gesagt hat, ne? Das war er aber gar nicht; das war Peter Altmaier 2020. Das Zitat ist von der CDU-Webseite.",SPD,SPD,FDP,False,['cooperative'],"['confrontational_others', 'cooperative']"
16 Jahre!,"Weniger Geld nach dem Urteil zum Klimafonds, das ist eine Herausforderung. Positiv möchte ich trotzdem festhalten: Bei der Bahn investieren wir so viel Geld wie noch nie zuvor. Damit tilgen wir allerdings nur die massiven Infrastrukturschulden der Vergangenheit.",GRUENE,GRUENE,FDP,False,"['confrontational_others', 'cooperative']",['confrontational_others']
"Dort ist alles zu teuer, und ihr seid zu zögerlich!","Liebe Kolleginnen und Kollegen, wir Grünen sind die einzige echte Friedenspartei.",SPD und die FDP,GRUENE,GRUENE,False,['confrontational_others'],['confrontational_others']
Das wäre lustig!,– Will sich vielleicht jemand aus der Union melden?,FDP,FDP,GRUENE,False,"['confrontational_others', 'cooperative']",['cooperative']
Er kann nicht anders!,"Das Einzige, was Sie mit dieser Debatte voranbringen, ist, dass Sie den rechten Teil im Plenum stärken, weil Sie wortwörtlich die AfD-Parolen wiederholen, die eindeutig widerlegt sind. Auch wenn Herr Merz mir weiter den Rücken zuwendet:",SPD,SPD,GRUENE,False,"['confrontational_others', 'cooperative']","['confrontational_others', 'cooperative']"
Herr Schäffler!,"Erstens. Die grünen Minister Lemke und Habeck haben dieses Parlament und die Öffentlichkeit hinter die Fichte geführt. Sie haben fortwährend Sand ins Getriebe gestreut, und das ist aus meiner Sicht die wichtigste Erkenntnis.",FDP,FDP,GRUENE,False,['confrontational'],['confrontational']
Teile der Bundesregierung!,"Sie wollen einen Gesetzentwurf. Dieser ist aber aufseiten der Bundesregierung noch in Arbeit, und nur deshalb schieben wir",SPD,SPD,FDP,False,['confrontational'],"['confrontational', 'cooperative']"
Gibt’s ja gar nicht!,Die CDU/CSU-Fraktion.,GRUENE,GRUENE,GRUENE,False,"['confrontational_others', 'cooperative']","['confrontational_others', 'cooperative']"
Guter Mann!,"Laut Markus Hufnagel, Pädiatrischer Infektiologe am Zentrum für Kinder- und Jugendmedizin des Universitätsklinikums Freiburg,",SPD,SPD,FDP,False,['cooperative'],['cooperative_others']
Sehr gut!,"Das Kinderformularium ist ein wichtiges Instrument, übrigens entwickelt von Ärzten und Apothekern, in der verlässliche Daten und Auskünfte zur Arzneimittelanwendung bei Kindern eingesehen werden können. Dieses Kinderformularium wird nun künftig aus Bundesmitteln finanziert.",SPD,SPD,SPD,False,['cooperative'],['cooperative']
Das war nicht der Vorschlag!,"Erstens, Herr Kollege, bleibe ich dabei, dass der Vorschlag von Herrn Lindner, zusätzlich 6,8 Milliarden Euro aus der Rente rauszunehmen, eine Kürzung bei der Rente ist.",SPD,SPD,FDP,False,['confrontational'],['confrontational']
Nein! Die fahren doch durch die Kieze! Die Autobahn ist durch die Kieze geplant!,"Drittens brauchen wir den 17. Bauabschnitt, um die Kieze zu entlasten.",FDP,FDP,GRUENE,False,['confrontational'],['confrontational']
Was mit der Sache nichts zu tun hat! Im Gegenteil!,"Meine Damen und Herren, liebe Kolleginnen und Kollegen von der FDP, wenn Sie eine stärkere Ausrüstung der Bundeswehr gemeinsam mit uns durchsetzen wollen, dann lösen Sie sich endlich von Ihrem finanzpolitischen Dogma der Schuldenbremse!",SPD,SPD,FDP,False,['confrontational'],['confrontational']
Meine auch!,"Liebe Kolleginnen und Kollegen der Union, wenn Sie es wirklich ernst meinen mit Ihrem Antrag, dann lassen Sie uns reden, noch haben wir Zeit in dieser Wahlperiode. Meine Tür steht Ihnen jederzeit offen.",GRUENE,GRUENE,GRUENE,False,['cooperative'],"['ambiguous', 'confrontational_others', 'cooperative']"
Was ist denn das für ein Männergehabe da drüben?,"Sie haben den Ausbau erneuerbarer Energien massiv blockiert und an Ihrer fossilen Nostalgie festgehalten. Diese Defizite spüren wir heute noch. Und wenn es Ihnen jetzt wirklich ernst ist mit den Entlastungen von Unternehmen, dann stimmen Sie doch unserem Gesetzentwurf zu den Netzentgelten zu. Heute ist die erste Lesung.",SPD,SPD,SPD,False,['ambiguous'],"['confrontational_others', 'cooperative']"
Genau!,"weil wir alle auch aus unseren Wahlkreisen wissen, was vor Ort von vielen freiwillig engagierten, hilfsbereiten Menschen geleistet wird,",FDP,FDP,GRUENE,False,['cooperative'],['cooperative']
Genau!,Danke schön.,SPD,SPD,SPD,False,['cooperative'],['cooperative']
Ah!,"Denn der Kollege Lammert, der ja offensichtlich Vorsitzender der Konrad-Adenauer-Stiftung ist, hat dazu das Entscheidende gesagt; vielleicht hören Sie mal auf den. Er hat nämlich erklärt: Frau Pau sei „mit überzeugender Mehrheit aller Mitglieder des Hauses inzwischen mehrfach für die Dauer der Legislaturperiode als Vizepräsidentin gewählt und im Amt bestätigt worden“. Dieses Amt dürfe laut Lammert nicht „von der Zugehörigkeit zu einer Fraktion“ abhängig gemacht werden.",FDP,FDP,GRUENE,False,"['confrontational_others', 'cooperative']","['confrontational_others', 'cooperative']"
Richtig!,"Andere Forderungen sind zudem schlicht überholt. Hebammengeleitete Kreißsäle, die Sie in Ihrem Antrag mehrfach erwähnen, bringen wir mit dem KHVVG bereits ein großes Stück voran.",SPD,SPD,GRUENE,False,['cooperative'],['cooperative']
„Einige“ ist gut!,"Wenn man sich dann auch noch ernsthaft inhaltlich mit den einzelnen Forderungen beschäftigt, dann kommt man natürlich zu der Frage: Wie soll das denn tatsächlich finanziert werden? Sie sollten ja nicht nur Vorschläge machen, sondern Sie müssen auch irgendwie Vorschläge für die Gegenfinanzierung machen. Immerhin würde die Umsetzung Ihrer Vorschläge einige Milliarden Euro geringere Einnahmen im Bundeshaushalt produzieren.",SPD,SPD,FDP,False,['confrontational'],['cooperative']
Richtig!,"Außerdem: Dann sind Sie ja gerne beim Thema „Lohnabstand und Bürgergeld“ dabei. Das sagt die Fraktion, die hier mit großer breiter Mehrheit gegen die Erhöhung des Mindestlohnes auf 12 Euro gestimmt hat.",SPD,SPD,SPD,False,['cooperative'],['cooperative']
Was ist denn daran rechtlich bedenklich? So ein Quatsch! Gerade von der SPD! Rechtlich bedenklich?,"Deswegen wäre es am besten gewesen, Sie hätten Ihren untauglichen und rechtlich bedenklichen Gesetzentwurf heute vom Tisch genommen.",SPD,SPD,FDP,False,['confrontational'],"['confrontational', 'confrontational_others']"
Hört! Hört!,weil so eine Wahl gut vorbereitet sein muss.,SPD,SPD,SPD,False,['cooperative'],"['confrontational_others', 'cooperative']"
"Sie merken, wie Sie schwimmen, Herr Kollege, oder?","Das, was Sie heute vorgelegt haben, ist inhaltlich völlig unzureichend",SPD,SPD,FDP,False,['confrontational'],['confrontational']
Was?,"Das ASP-Virus sei über infizierte Wildschweine eingeschleppt worden, so sagt er; er kann es ja gerne wiederholen. Er warnt deswegen sogar öffentlich vor touristischen Reisen in meinen Wahlkreis, die Grafschaft Bentheim und ins Emsland.",SPD,SPD,FDP,False,"['confrontational_others', 'cooperative']",['ambiguous']
"Hui, das braucht die Welt!","– ja, das war das Ergebnis dieser Anhörung; Sie müssen mir zuhören, Herr Kollege, nicht einfach nur dazwischenbrüllen –, sind sechs Pflanzen, die gezüchtet wurden, um herbizidresistent zu sein.",SPD,SPD,GRUENE,False,"['confrontational_others', 'cooperative']",['ambiguous']
Der ist super!,"Ja, wir wissen, es gibt den Tankrabatt.",SPD,SPD,FDP,False,['cooperative'],['ambiguous']
